,epoch,train_loss,val_loss,val_accuracy,model_size_mb,experiment_name,batch_size,growth_rate,dropout,base_learning_rate,warmup_iter,weight_decay,n_epochs,transform_stack_name,elapsed_time_sec,test_accuracy,test_precision,test_recall,test_f1
0,0,0.6771665523792135,0.41983659719598704,88.33151581243183,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
1,1,0.6550446060197107,0.41762371207105703,88.27699018538712,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
2,2,0.6575350920701849,0.4128972990759488,88.38604143947656,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
3,3,0.6690351079250204,0.41558097148763723,88.38604143947656,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
4,4,0.6666985375100168,0.40973754895144493,88.65866957470011,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
5,5,0.6662812150757889,0.405482512609712,88.65866957470011,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
6,6,0.6590579208628885,0.40385309375565626,88.6041439476554,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
7,7,0.6547623009517275,0.3997769920990385,88.16793893129771,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
8,8,0.6321012038609077,0.39629889973278704,88.49509269356598,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
9,9,0.6112366585895933,0.3954217202704528,88.113413304253,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
10,10,0.6035378714059961,0.3927503885893986,88.33151581243183,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
11,11,0.61807991101824,0.38765204415239135,88.54961832061069,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
12,12,0.5823967066304437,0.38262014502081376,88.44056706652127,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
13,13,0.5736037672593676,0.3822058254274829,88.49509269356598,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
14,14,0.5662093393761536,0.3768744509795616,88.54961832061069,42.74,resnet_tuning,64,24,0.2,0.0001,7500,0.001,15,default,857.0914726257324,0.8981581798483207,0.900920569896698,0.8981581926345825,0.8975442051887512
